Q	Names
q635	Table.Column Table.RemoveColumns Table.SelectColumns
q636	Table.ColumnCount Table.RowCount
q637	Table.First Table.Last
q638	Table.Max Table.Min
q639	Table.ColumnCount Table.RowCount
q640	Table.IsEmpty
q641	List.Sum
q642	List.Average
q643	List.Median
q644	List.Mode
q645	List.Count List.Max List.Min List.StandardDeviation Number.Round
q646	List.RemoveItems
q647	List.RemoveMatchingItems
q648	List.RemoveNulls
q649	List.Reverse
q650	List.Sort Order.Descending
q651	Text.Length
q652	Text.Start
q653	Text.End
q654	Text.Middle
q655	Text.At
q656	Number.Round RoundingMode.AwayFromZero
q657	Number.Round RoundingMode.ToEven
q658	Number.Round RoundingMode.AwayFromZero RoundingMode.Down RoundingMode.ToEven RoundingMode.TowardZero RoundingMode.Up
q659	Number.Round RoundingMode.AwayFromZero
q660	Number.Round RoundingMode.AwayFromZero RoundingMode.Down RoundingMode.ToEven
q661	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.Round RoundingMode.AwayFromZero RoundingMode.ToEven
q662	Number.Round RoundingMode.AwayFromZero RoundingMode.Down RoundingMode.ToEven RoundingMode.TowardZero RoundingMode.Up
q663	Number.Mod
q664	Number.Mod
q665	Number.Mod
q666	Number.Mod
q667	Number.Mod Number.NaN Number.NegativeInfinity Number.PositiveInfinity
q668	Number.Mod
q669	Number.Mod
q670	Number.IntegerDivide
q671	Number.IntegerDivide
q672	Number.IntegerDivide
q673	Number.IntegerDivide Number.NaN Number.NegativeInfinity Number.PositiveInfinity
q674	Number.IntegerDivide
q675	Number.IntegerDivide
q676	Number.IntegerDivide Number.Mod
q677	Number.Power
q678	Number.Power
q679	Number.Power
q680	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.Power
q681	Number.Power
q682	Number.Power
q683	Number.Power
q684	Number.Sqrt
q685	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.Sqrt
q686	Number.Ln
q687	Number.Ln Number.Log10 Number.NaN Number.NegativeInfinity Number.PositiveInfinity
q688	Number.Log
q689	Number.Exp
q690	Number.Exp Number.Ln Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.Power Number.Sqrt
q691	Number.ToText
q692	Number.ToText
q693	Number.ToText
q694	Number.ToText
q695	Number.ToText
q696	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.ToText
q697	Number.ToText
q698	Number.ToText
q699	Number.ToText
q700	Number.ToText
q701	Number.ToText
q702	Number.ToText
q703	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.ToText
q704	Number.ToText
q705	Number.ToText
q706	Number.ToText
q707	Number.ToText
q708	Number.ToText
q709	Number.ToText
q710	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.ToText
q711	Number.ToText
q712	Number.ToText
q713	Number.ToText
q714	Number.ToText
q715	Number.ToText
q716	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.ToText
q717	Number.ToText
q718	Number.ToText
q719	Number.ToText
q720	Number.ToText
q721	Number.ToText
q722	Number.ToText
q723	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.ToText
q724	Number.ToText
q725	Number.ToText
q726	Number.ToText
q727	Number.ToText
q728	Number.ToText
q729	Number.ToText
q730	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.ToText
q731	Number.ToText
q732	Number.ToText
q733	Number.ToText
q734	Number.ToText
q735	Number.ToText
q736	Number.ToText
q737	Number.ToText
q738	Number.ToText
q739	Number.NaN Number.PositiveInfinity Number.ToText
q740	Number.FromText
q741	Number.FromText
q742	Number.FromText
q743	Number.FromText
q744	Number.FromText
q745	Number.FromText
q746	Number.FromText
q747	Number.Sign
q748	Number.NaN Number.NegativeInfinity Number.PositiveInfinity Number.Sign
q749	Number.Abs
q750	Number.Abs Number.NaN Number.NegativeInfinity Number.PositiveInfinity
q751	Number.Abs Number.Sign
q752	Number.Abs Number.Sign
q753	Number.Abs Number.Mod Number.Power Number.Round Number.Sign Number.Sqrt
q754	Number.BitwiseAnd
q755	Number.BitwiseNot Number.BitwiseOr Number.BitwiseXor
q756	Number.BitwiseShiftLeft Number.BitwiseShiftRight
q757	Number.BitwiseShiftLeft Number.BitwiseShiftRight
q758	Number.BitwiseAnd Number.BitwiseOr Number.BitwiseShiftRight Number.BitwiseXor
q759	Number.BitwiseAnd Number.BitwiseNot Number.BitwiseShiftLeft Number.NaN Number.PositiveInfinity
q760	Number.BitwiseAnd Number.BitwiseNot Number.BitwiseOr Number.BitwiseShiftLeft Number.BitwiseShiftRight Number.BitwiseXor
q761	Comparer.Ordinal Comparer.OrdinalIgnoreCase Text.Replace
q762	Text.Replace
q763	Text.Replace
q764	Text.Replace
q765	Text.Replace
q766	Text.Replace
q767	List.Distinct List.Sort Text.Lower Text.Replace Value.Compare
q768	Text.Split
q769	Text.Split
q770	Text.Split
q771	Text.SplitAny
q772	Text.Split
q773	Text.SplitAny
q774	Text.Split
q775	Text.PadStart
q776	Text.PadEnd
q777	Text.PadStart
q778	Text.PadStart
q779	Text.PadEnd
q780	Text.PadEnd Text.PadStart
q781	Text.PadEnd Text.PadStart
q782	Text.Range
q783	Text.Range
q784	Text.Range
q785	Text.Range
q786	Text.Range
q787	Text.Range
q788	Text.Range
q789	Text.Range
q790	Text.Range
q791	Text.Insert
q792	Text.Insert
q793	Text.Insert
q794	Text.Insert
q795	Text.Insert
q796	Text.Insert
q797	Text.Insert
q798	Text.Trim
q799	Text.Trim
q800	Text.Trim
q801	Text.Trim Text.TrimEnd Text.TrimStart
q802	Text.Trim
q803	Text.Trim
q804	Text.Trim Text.TrimEnd Text.TrimStart
q805	Text.Lower Text.Upper
q806	Text.Lower Text.Upper
q807	Text.Lower Text.Upper
q808	Text.Lower Text.Upper
q809	Text.Lower Text.Upper
q810	Text.Lower Text.Upper
q811	Text.Lower Text.Upper
q812	Text.Lower
q813	Occurrence.All Text.Length Text.NewGuid Text.PositionOf Text.Range Text.Replace
q814	Text.Length Text.NewGuid
q815	List.Contains Text.Lower Text.NewGuid Text.Range Text.Upper
q816	List.AllTrue List.Contains List.Transform Text.NewGuid Text.ToList
q817	List.Count List.Distinct List.Generate Text.NewGuid
q818	Text.NewGuid
q819	List.Count Text.Length Text.NewGuid Text.Split
q820	Occurrence.All Occurrence.Last Text.PositionOf
q821	Occurrence.All Text.PositionOf
q822	Occurrence.All Text.PositionOf
q823	Comparer.OrdinalIgnoreCase Occurrence.All Occurrence.First Text.PositionOf
q824	Occurrence.All Occurrence.Last Text.PositionOfAny
q825	Text.PositionOfAny
q826	Text.PositionOf Text.PositionOfAny
q827	Occurrence.All Occurrence.Last Text.PositionOf Text.PositionOfAny
q828	Text.Format
q829	Text.Format
q830	Text.Format
q831	Text.Format
q832	Text.Format
q833	Text.Format
q834	Text.Format
q835	Text.Combine
q836	Text.Combine
q837	Text.Combine
q838	Text.Combine
q839	Text.Combine
q840	Text.Combine
q841	Text.Combine Text.Split
q842	Text.Reverse
q843	Text.Reverse
q844	Text.Length Text.Reverse
q845	Text.Length Text.Reverse
q846	Text.Length Text.Reverse
q847	Text.Reverse
q848	Text.Length
q849	List.Sort
q850	List.Sort Value.Compare
q851	List.Sort Order.Ascending Order.Descending
q852	List.Sort Number.Abs Number.Round Text.Length
q853	List.Sort
q854	List.Sort Text.Lower Value.Compare
q855	List.Sort
q856	List.Distinct
q857	Comparer.Ordinal Comparer.OrdinalIgnoreCase List.Distinct
q858	List.Distinct Text.Lower
q859	List.Distinct
q860	List.Distinct
q861	List.Distinct
q862	List.Distinct
q863	List.Accumulate
q864	List.Accumulate Record.AddField Text.Upper
q865	List.Accumulate
q866	List.Accumulate
q867	List.Accumulate
q868	List.Accumulate Text.From
q869	List.Accumulate
q870	List.Generate Text.Length
q871	List.Generate Text.From
q872	List.Generate
q873	List.Generate
q874	List.Generate Number.Mod
q875	List.Count List.Generate List.Sum
q876	List.Generate
q877	List.Range
q878	List.Range
q879	List.Range
q880	List.Skip
q881	List.Skip
q882	List.FirstN List.LastN
q883	List.FirstN List.LastN
q884	List.FirstN List.LastN
q885	List.Zip
q886	List.Zip
q887	List.Zip
